STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TLG,D,8,FNF,,20051001,-63,r,CFS
TLG,D,8,FNF,,20051002,224,r,CFS
TLG,D,8,FNF,,20051003,7,r,CFS
TLG,D,8,FNF,,20051004,323,r,CFS
TLG,D,8,FNF,,20051005,339,r,CFS
TLG,D,8,FNF,,20051006,-261,r,CFS
TLG,D,8,FNF,,20051007,325,r,CFS
TLG,D,8,FNF,,20051008,399,r,CFS
TLG,D,8,FNF,,20051009,162,r,CFS
TLG,D,8,FNF,,20051010,11,r,CFS
TLG,D,8,FNF,,20051011,84,r,CFS
TLG,D,8,FNF,,20051012,208,r,CFS
TLG,D,8,FNF,,20051013,148,r,CFS
TLG,D,8,FNF,,20051014,-221,r,CFS
TLG,D,8,FNF,,20051015,130,r,CFS
TLG,D,8,FNF,,20051016,241,r,CFS
TLG,D,8,FNF,,20051017,150,r,CFS
TLG,D,8,FNF,,20051018,67,r,CFS
TLG,D,8,FNF,,20051019,139,r,CFS
TLG,D,8,FNF,,20051020,256,r,CFS
TLG,D,8,FNF,,20051021,267,r,CFS
TLG,D,8,FNF,,20051022,404,r,CFS
TLG,D,8,FNF,,20051023,-189,r,CFS
TLG,D,8,FNF,,20051024,-16,r,CFS
TLG,D,8,FNF,,20051025,172,r,CFS
TLG,D,8,FNF,,20051026,365,r,CFS
TLG,D,8,FNF,,20051027,931,r,CFS
TLG,D,8,FNF,,20051028,207,r,CFS
TLG,D,8,FNF,,20051029,486,r,CFS
TLG,D,8,FNF,,20051030,-131,r,CFS
TLG,D,8,FNF,,20051031,541,r,CFS
TLG,D,8,FNF,,20051101,-47,r,CFS
TLG,D,8,FNF,,20051102,267,r,CFS
TLG,D,8,FNF,,20051103,49,r,CFS
TLG,D,8,FNF,,20051104,379,r,CFS
TLG,D,8,FNF,,20051105,-112,r,CFS
TLG,D,8,FNF,,20051106,490,r,CFS
TLG,D,8,FNF,,20051107,-170,r,CFS
TLG,D,8,FNF,,20051108,586,r,CFS
TLG,D,8,FNF,,20051109,448,r,CFS
TLG,D,8,FNF,,20051110,-27,r,CFS
TLG,D,8,FNF,,20051111,462,r,CFS
TLG,D,8,FNF,,20051112,41,r,CFS
TLG,D,8,FNF,,20051113,595,r,CFS
TLG,D,8,FNF,,20051114,-281,r,CFS
TLG,D,8,FNF,,20051115,174,r,CFS
TLG,D,8,FNF,,20051116,344,r,CFS
TLG,D,8,FNF,,20051117,-136,r,CFS
TLG,D,8,FNF,,20051118,282,r,CFS
TLG,D,8,FNF,,20051119,278,r,CFS
TLG,D,8,FNF,,20051120,224,r,CFS
TLG,D,8,FNF,,20051121,241,r,CFS
TLG,D,8,FNF,,20051122,-275,r,CFS
TLG,D,8,FNF,,20051123,298,r,CFS
TLG,D,8,FNF,,20051124,-96,r,CFS
TLG,D,8,FNF,,20051125,501,r,CFS
TLG,D,8,FNF,,20051126,460,r,CFS
TLG,D,8,FNF,,20051127,-145,r,CFS
TLG,D,8,FNF,,20051128,402,r,CFS
TLG,D,8,FNF,,20051129,"1,391",r,CFS
TLG,D,8,FNF,,20051130,"1,519",r,CFS
TLG,D,8,FNF,,20051201,"5,304",r,CFS
TLG,D,8,FNF,,20051202,"7,606",r,CFS
TLG,D,8,FNF,,20051203,"1,627",r,CFS
TLG,D,8,FNF,,20051204,"1,380",r,CFS
TLG,D,8,FNF,,20051205,725,r,CFS
TLG,D,8,FNF,,20051206,876,r,CFS
TLG,D,8,FNF,,20051207,"1,036",r,CFS
TLG,D,8,FNF,,20051208,404,r,CFS
TLG,D,8,FNF,,20051209,915,r,CFS
TLG,D,8,FNF,,20051210,962,r,CFS
TLG,D,8,FNF,,20051211,649,r,CFS
TLG,D,8,FNF,,20051212,487,r,CFS
TLG,D,8,FNF,,20051213,198,r,CFS
TLG,D,8,FNF,,20051214,130,r,CFS
TLG,D,8,FNF,,20051215,533,r,CFS
TLG,D,8,FNF,,20051216,210,r,CFS
TLG,D,8,FNF,,20051217,455,r,CFS
TLG,D,8,FNF,,20051218,"3,065",r,CFS
TLG,D,8,FNF,,20051219,"3,762",r,CFS
TLG,D,8,FNF,,20051220,"1,948",r,CFS
TLG,D,8,FNF,,20051221,"1,992",r,CFS
TLG,D,8,FNF,,20051222,"7,261",r,CFS
TLG,D,8,FNF,,20051223,"5,893",r,CFS
TLG,D,8,FNF,,20051224,"3,163",r,CFS
TLG,D,8,FNF,,20051225,"3,467",r,CFS
TLG,D,8,FNF,,20051226,"6,444",r,CFS
TLG,D,8,FNF,,20051227,"2,813",r,CFS
TLG,D,8,FNF,,20051228,"7,675",r,CFS
TLG,D,8,FNF,,20051229,"5,534",r,CFS
TLG,D,8,FNF,,20051230,"7,926",r,CFS
TLG,D,8,FNF,,20051231,"43,433",r,CFS
TLG,D,8,FNF,,20060101,"12,109",r,CFS
TLG,D,8,FNF,,20060102,"21,732",r,CFS
TLG,D,8,FNF,,20060103,"9,985",r,CFS
TLG,D,8,FNF,,20060104,"5,549",r,CFS
TLG,D,8,FNF,,20060105,"5,171",r,CFS
TLG,D,8,FNF,,20060106,"4,136",r,CFS
TLG,D,8,FNF,,20060107,"4,255",r,CFS
TLG,D,8,FNF,,20060108,"3,647",r,CFS
TLG,D,8,FNF,,20060109,"2,993",r,CFS
TLG,D,8,FNF,,20060110,"2,689",r,CFS
TLG,D,8,FNF,,20060111,"2,089",r,CFS
TLG,D,8,FNF,,20060112,"2,275",r,CFS
TLG,D,8,FNF,,20060113,"2,650",r,CFS
TLG,D,8,FNF,,20060114,"3,411",r,CFS
TLG,D,8,FNF,,20060115,"3,105",r,CFS
TLG,D,8,FNF,,20060116,"2,357",r,CFS
TLG,D,8,FNF,,20060117,"2,512",r,CFS
TLG,D,8,FNF,,20060118,"4,014",r,CFS
TLG,D,8,FNF,,20060119,"3,038",r,CFS
TLG,D,8,FNF,,20060120,"2,309",r,CFS
TLG,D,8,FNF,,20060121,"2,462",r,CFS
TLG,D,8,FNF,,20060122,"1,959",r,CFS
TLG,D,8,FNF,,20060123,"1,187",r,CFS
TLG,D,8,FNF,,20060124,"1,867",r,CFS
