station_id,duration,sensor_number,sensor_type,date,value,units
TLG,D,8,FNF,1986-04-01,7804,CFS
TLG,D,8,FNF,1986-04-02,6948,CFS
TLG,D,8,FNF,1986-04-03,5797,CFS
TLG,D,8,FNF,1986-04-04,5105,CFS
TLG,D,8,FNF,1986-04-05,4838,CFS
TLG,D,8,FNF,1986-04-06,3188,CFS
TLG,D,8,FNF,1986-04-07,6295,CFS
TLG,D,8,FNF,1986-04-08,4962,CFS
TLG,D,8,FNF,1986-04-09,4008,CFS
TLG,D,8,FNF,1986-04-10,4496,CFS
TLG,D,8,FNF,1986-04-11,4901,CFS
TLG,D,8,FNF,1986-04-12,5655,CFS
TLG,D,8,FNF,1986-04-13,4338,CFS
TLG,D,8,FNF,1986-04-14,4332,CFS
TLG,D,8,FNF,1986-04-15,4499,CFS
TLG,D,8,FNF,1986-04-16,3805,CFS
TLG,D,8,FNF,1986-04-17,3129,CFS
TLG,D,8,FNF,1986-04-18,3650,CFS
TLG,D,8,FNF,1986-04-19,4001,CFS
TLG,D,8,FNF,1986-04-20,4016,CFS
TLG,D,8,FNF,1986-04-21,5847,CFS
TLG,D,8,FNF,1986-04-22,7649,CFS
TLG,D,8,FNF,1986-04-23,8442,CFS
TLG,D,8,FNF,1986-04-24,7077,CFS
TLG,D,8,FNF,1986-04-25,6189,CFS
TLG,D,8,FNF,1986-04-26,5640,CFS
TLG,D,8,FNF,1986-04-27,5019,CFS
TLG,D,8,FNF,1986-04-28,7083,CFS
TLG,D,8,FNF,1986-04-29,8054,CFS
TLG,D,8,FNF,1986-04-30,5833,CFS
TLG,D,8,FNF,1986-05-01,8919,CFS
TLG,D,8,FNF,1986-05-02,7521,CFS
TLG,D,8,FNF,1986-05-03,8487,CFS
TLG,D,8,FNF,1986-05-04,7877,CFS
TLG,D,8,FNF,1986-05-05,5696,CFS
TLG,D,8,FNF,1986-05-06,4675,CFS
TLG,D,8,FNF,1986-05-07,4248,CFS
TLG,D,8,FNF,1986-05-08,4287,CFS
TLG,D,8,FNF,1986-05-09,3282,CFS
TLG,D,8,FNF,1986-05-10,4483,CFS
TLG,D,8,FNF,1986-05-11,5612,CFS
TLG,D,8,FNF,1986-05-12,5669,CFS
TLG,D,8,FNF,1986-05-13,7831,CFS
TLG,D,8,FNF,1986-05-14,7624,CFS
TLG,D,8,FNF,1986-05-15,8088,CFS
TLG,D,8,FNF,1986-05-16,8418,CFS
TLG,D,8,FNF,1986-05-17,9295,CFS
TLG,D,8,FNF,1986-05-18,9717,CFS
TLG,D,8,FNF,1986-05-19,11858,CFS
TLG,D,8,FNF,1986-05-20,11111,CFS
TLG,D,8,FNF,1986-05-21,10638,CFS
TLG,D,8,FNF,1986-05-22,8655,CFS
TLG,D,8,FNF,1986-05-23,7257,CFS
TLG,D,8,FNF,1986-05-24,7158,CFS
TLG,D,8,FNF,1986-05-25,9555,CFS
TLG,D,8,FNF,1986-05-26,12378,CFS
TLG,D,8,FNF,1986-05-27,12461,CFS
TLG,D,8,FNF,1986-05-28,13480,CFS
TLG,D,8,FNF,1986-05-29,15684,CFS
TLG,D,8,FNF,1986-05-30,14407,CFS
TLG,D,8,FNF,1986-05-31,15863,CFS
TLG,D,8,FNF,1986-06-01,15119,CFS
TLG,D,8,FNF,1986-06-02,16448,CFS
TLG,D,8,FNF,1986-06-03,15524,CFS
TLG,D,8,FNF,1986-06-04,13142,CFS
TLG,D,8,FNF,1986-06-05,11639,CFS
TLG,D,8,FNF,1986-06-06,9969,CFS
TLG,D,8,FNF,1986-06-07,9840,CFS
TLG,D,8,FNF,1986-06-08,8875,CFS
TLG,D,8,FNF,1986-06-09,7998,CFS
TLG,D,8,FNF,1986-06-10,6879,CFS
TLG,D,8,FNF,1986-06-11,8580,CFS
TLG,D,8,FNF,1986-06-12,6559,CFS
TLG,D,8,FNF,1986-06-13,9727,CFS
TLG,D,8,FNF,1986-06-14,9361,CFS
TLG,D,8,FNF,1986-06-15,8013,CFS
TLG,D,8,FNF,1986-06-16,8703,CFS
TLG,D,8,FNF,1986-06-17,9015,CFS
TLG,D,8,FNF,1986-06-18,6791,CFS
TLG,D,8,FNF,1986-06-19,7499,CFS
TLG,D,8,FNF,1986-06-20,6508,CFS
TLG,D,8,FNF,1986-06-21,5038,CFS
TLG,D,8,FNF,1986-06-22,6349,CFS
TLG,D,8,FNF,1986-06-23,6764,CFS
TLG,D,8,FNF,1986-06-24,6106,CFS
TLG,D,8,FNF,1986-06-25,5417,CFS
TLG,D,8,FNF,1986-06-26,6771,CFS
TLG,D,8,FNF,1986-06-27,5474,CFS
TLG,D,8,FNF,1986-06-28,5948,CFS
TLG,D,8,FNF,1986-06-29,2303,CFS
TLG,D,8,FNF,1986-06-30,6186,CFS
TLG,D,8,FNF,1986-07-01,5115,CFS
TLG,D,8,FNF,1986-07-02,4359,CFS
TLG,D,8,FNF,1986-07-03,4100,CFS
TLG,D,8,FNF,1986-07-04,3416,CFS
TLG,D,8,FNF,1986-07-05,4995,CFS
TLG,D,8,FNF,1986-07-06,2809,CFS
TLG,D,8,FNF,1986-07-07,3953,CFS
TLG,D,8,FNF,1986-07-08,3233,CFS
TLG,D,8,FNF,1986-07-09,2896,CFS
TLG,D,8,FNF,1986-07-10,1900,CFS
TLG,D,8,FNF,1986-07-11,3658,CFS
TLG,D,8,FNF,1986-07-12,2366,CFS
TLG,D,8,FNF,1986-07-13,2472,CFS
TLG,D,8,FNF,1986-07-14,3137,CFS
TLG,D,8,FNF,1986-07-15,2210,CFS
TLG,D,8,FNF,1986-07-16,2157,CFS
TLG,D,8,FNF,1986-07-17,1528,CFS
TLG,D,8,FNF,1986-07-18,1835,CFS
TLG,D,8,FNF,1986-07-19,1430,CFS
TLG,D,8,FNF,1986-07-20,1744,CFS
TLG,D,8,FNF,1986-07-21,1624,CFS
TLG,D,8,FNF,1986-07-22,914,CFS
TLG,D,8,FNF,1986-07-23,1978,CFS
TLG,D,8,FNF,1986-07-24,1694,CFS
TLG,D,8,FNF,1986-07-25,1612,CFS
