"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","1987",124,322,293,783.7,2,710.997947033668,1,0.369770144628099,96,5718,226,90,554.8,2113.5,136,NA,NA,NA,NA,NA,NA,42965.8,14241,29141.2,NA,NA,NA
"2","1988",200,285,274.2476,669.1,2,454.975642697082,23,0.19634703196347,47,4484,238,158,717.7,1500.5,80,NA,NA,NA,NA,NA,NA,42965.8,14241,29141.2,NA,NA,NA
"3","1989",172,326,429.0718,1128.2,4,425.028145635976,3,0.233221476510067,90,5924,236,117,799.4,3782,119,NA,NA,NA,NA,NA,NA,42965.8,14241,29141.2,NA,NA,NA
"4","1990",148,352,241,507.6,2,1133.99970854383,0,0.338729763387298,109,5002,243,111,1054,2554,132,NA,NA,NA,NA,NA,NA,42965.8,14241,29141.2,NA,NA,NA
"5","1991",187,296,369,715.2,2,490.361108129486,0,0.154054054054054,46,9168,250,116,242.5,3101,134,NA,NA,NA,NA,NA,NA,42965.8,14241,29141.2,NA,NA,NA
"6","1992",119,327,211,672.2,5,2849.75351402552,25,0.252799407172943,103,5822,224,107,489.2,2325,117,NA,NA,NA,NA,NA,NA,42965.8,14241,29141.2,NA,NA,NA
"7","1993",185,319,392.8393,852.6,2,528.999730134152,0,0.180683738463538,57,11102,262,182,1455.3,5084.5,80,NA,170.5,NA,NA,2,NA,42965.8,14241,29141.2,NA,2,NA
"8","1994",156,289,376.22575,1039,3,1117.83754590596,4,0.282158052187917,43,6316,246,108,1182.2,2317.5,138,NA,NA,NA,NA,NA,NA,42965.8,14241,29141.2,NA,NA,NA
"9","1995",112,347,319,1187.4,3,773.988279052197,4,0.106181235324823,62,17980,285,206,1985,6851,79,160,242,160,1,32,2,42965.8,14241,29141.2,1,7,1
"10","1996",89,308,364,715.4,2,624.999109683732,1,0.0974600456621005,76,37270,232,139,1270.4,4491,93,NA,185.5,228,NA,5,1,42965.8,14241,29141.2,NA,4,1
"11","1997",156,294,432.5,1045.57415,3,637.985505836364,7,0.204697062120126,48,11059,246,215,1091.4,4374,31,92,114,104.5,3,13,4,42965.8,14241,29141.2,1,5,2
"12","1998",129,329,644.6547,1422.2,1,5999.76810006844,6,0.0723570958976024,62,15740,267,183,1644.8,5635,84,NA,252,NA,NA,20,NA,42965.8,14241,29141.2,NA,8,NA
"13","1999",103,354,331.3505,586.33576,2,1288.87713028528,37,0.275261324041812,94,10061,260,168,1196.9,3586,92,NA,182.5,NA,NA,2,NA,42965.8,14241,29141.2,NA,2,NA
"14","2000",142,344,400.84135,775,4,560.978976622579,15,0.247113163972286,81,6876,263,172,1028.9,4478,91,NA,178,NA,NA,5,NA,42965.8,14241,29141.2,NA,4,NA
"15","2001",169,269,364,905.600000000001,3,884.903061465236,15,0.146684652121718,45,10379,224,104,745.7,2339.5,120,NA,NA,NA,NA,NA,NA,42965.8,14241,29141.2,NA,NA,NA
"16","2002",224,292,448.34695,1568,2,546.99048783611,17,0.217486684185503,46,9698,246,174,902.9,2299.5,72,NA,NA,NA,NA,NA,NA,42965.8,14241,29141.2,NA,NA,NA
"17","2003",137,349,387,1612.6,1,1341.16951512774,36,0.240620104265472,105,16889,244,94,1115.7,3379,150,NA,237.5,NA,NA,4,NA,42965.8,14241,29141.2,NA,2,NA
"18","2004",96,347,624.5,1459,3,515.905283494164,4,0.301998681325955,102,7171,245,125,1050.4,3930,120,NA,NA,NA,NA,NA,NA,42965.8,14241,29141.2,NA,NA,NA
"19","2005",122,313,364,872.76202,4,3017.00931224635,18,0.112035010940919,72,22172,241,164,1577.6,4627,77,NA,231,227,NA,18,1,42965.8,14241,29141.2,NA,4,1
"20","2006",161,317,390,757.5845,2,930.979477504918,26,0.114620726495726,64,15883,253,184,1512.2,5541.5,69,91,202,138,1,27,2,42965.8,14241,29141.2,1,8,2
"21","2007",201,272,300.0401,605,2,1817.95584390853,44,0.201712654614653,45,6034,227,115,473.8,2313,112,NA,NA,NA,NA,NA,NA,42965.8,14241,29141.2,NA,NA,NA
"22","2008",176,286,254.50695,932,2,1150.99684318543,1,0.185185932773654,53,11210,233,126,944.5,2140,107,NA,NA,NA,NA,NA,NA,42965.8,14241,29141.2,NA,NA,NA
