"","max","min","ten","fifty","ninty","twenty_five","seventy_five","days"
"1",1.88,0.01,0.02,0.05,0.14,0.03,0.1,1
"2",7.13,0.01,0.02,0.05,0.17,0.03,0.1,2
"3",0.71,0.01,0.02,0.06,0.21,0.03,0.1,3
"4",2.92,0.01,0.02,0.05,0.39,0.02,0.1,4
"5",3.45,0.01,0.02,0.05,0.22,0.03,0.1,5
"6",0.93,0.01,0.02,0.05,0.24,0.03,0.09,6
"7",1.62,0.01,0.02,0.05,0.16,0.03,0.1,7
"8",0.7,0.01,0.02,0.06,0.16,0.03,0.1,8
"9",1.21,0.01,0.02,0.05,0.19,0.03,0.09,9
"10",4.98,0.01,0.02,0.06,0.36,0.03,0.1,10
"11",6.05,0.01,0.02,0.05,0.24,0.03,0.1,11
"12",0.59,0.01,0.02,0.05,0.19,0.03,0.13,12
"13",3.1,0.01,0.02,0.05,0.35,0.03,0.11,13
"14",3.36,0.01,0.02,0.05,0.38,0.03,0.1,14
"15",1.52,0.01,0.02,0.05,0.35,0.03,0.1,15
"16",3.15,0.01,0.02,0.05,0.23,0.03,0.1,16
"17",1.47,0.01,0.02,0.07,0.26,0.03,0.1,17
"18",1.41,0.01,0.02,0.07,0.18,0.03,0.1,18
"19",3.15,0.01,0.02,0.07,0.23,0.03,0.11,19
"20",1.3,0.01,0.02,0.07,0.21,0.03,0.1,20
"21",1,0.01,0.02,0.07,0.2,0.03,0.11,21
"22",1.23,0.01,0.02,0.06,0.3,0.03,0.12,22
"23",11.28,0.01,0.02,0.07,0.42,0.03,0.13,23
"24",15.24,0.01,0.02,0.07,0.26,0.04,0.13,24
"25",2.99,0.01,0.02,0.07,0.41,0.04,0.14,25
"26",10.88,0.01,0.02,0.06,0.35,0.03,0.14,26
"27",6.92,0.01,0.03,0.07,0.28,0.04,0.14,27
"28",3.63,0.01,0.03,0.07,0.27,0.04,0.13,28
"29",2.72,0.01,0.03,0.08,0.43,0.04,0.18,29
"30",8.34,0.01,0.03,0.08,0.5,0.04,0.17,30
"31",2.74,0.01,0.02,0.07,0.34,0.04,0.12,31
"32",3.13,0.01,0.03,0.07,0.37,0.04,0.13,32
"33",1.95,0.01,0.03,0.08,0.38,0.04,0.15,33
"34",2.48,0.01,0.03,0.08,0.4,0.05,0.19,34
"35",1.45,0.01,0.03,0.08,0.5,0.06,0.19,35
"36",1.85,0.01,0.03,0.08,0.55,0.05,0.17,36
"37",4.76,0.01,0.03,0.08,0.75,0.05,0.2,37
"38",3.1,0.01,0.03,0.08,0.72,0.05,0.25,38
"39",18.38,0.01,0.03,0.09,0.57,0.05,0.21,39
"40",5.57,0.01,0.03,0.08,0.43,0.05,0.24,40
"41",3.41,0.01,0.03,0.14,0.54,0.06,0.31,41
"42",2.99,0.02,0.03,0.11,0.88,0.06,0.36,42
"43",6.87,0.02,0.03,0.11,0.93,0.06,0.37,43
"44",2.89,0.02,0.03,0.15,1.73,0.06,0.55,44
"45",8.71,0.02,0.03,0.13,1.94,0.06,0.52,45
"46",7.35,0.02,0.03,0.1,0.58,0.06,0.21,46
"47",4.13,0.02,0.03,0.13,0.92,0.08,0.28,47
"48",8.12,0.02,0.03,0.13,1.43,0.07,0.31,48
"49",38.08,0.02,0.03,0.09,1.38,0.06,0.25,49
"50",19.75,0.02,0.04,0.12,1.18,0.06,0.28,50
"51",6.6,0.02,0.03,0.14,1.11,0.06,0.31,51
"52",2.28,0.02,0.04,0.14,0.75,0.07,0.3,52
"53",1.78,0.02,0.03,0.12,0.85,0.05,0.22,53
"54",5.96,0.02,0.04,0.09,0.88,0.06,0.22,54
"55",4.66,0.02,0.04,0.12,0.73,0.06,0.27,55
"56",4.88,0.02,0.04,0.14,0.59,0.06,0.28,56
"57",8.74,0.03,0.04,0.12,0.58,0.07,0.24,57
"58",1.97,0.02,0.04,0.13,0.37,0.07,0.22,58
"59",2.24,0.02,0.04,0.1,0.64,0.07,0.24,59
"60",5.99,0.02,0.03,0.12,0.92,0.06,0.26,60
"61",5.6,0.02,0.04,0.15,0.8,0.07,0.31,61
"62",9.77,0.02,0.04,0.16,1.77,0.07,0.41,62
"63",15.12,0.02,0.04,0.15,1.6,0.07,0.43,63
"64",8.99,0.02,0.04,0.18,1.31,0.07,0.42,64
"65",3.74,0.02,0.04,0.18,0.9,0.07,0.45,65
"66",3.84,0.03,0.04,0.17,1.06,0.07,0.37,66
"67",5.16,0.03,0.04,0.18,0.96,0.06,0.39,67
"68",4.87,0.03,0.04,0.13,1.08,0.07,0.37,68
"69",3.33,0.03,0.05,0.12,0.61,0.06,0.31,69
"70",3.34,0.02,0.04,0.13,1.12,0.06,0.32,70
"71",4.75,0.02,0.04,0.13,1.15,0.07,0.26,71
"72",3.75,0.03,0.04,0.13,1.16,0.07,0.34,72
"73",7.33,0.03,0.05,0.15,1.26,0.09,0.28,73
"74",2.74,0.03,0.04,0.15,0.81,0.09,0.38,74
"75",2.55,0.03,0.05,0.16,0.62,0.08,0.3,75
"76",4.16,0.03,0.05,0.15,0.72,0.09,0.35,76
"77",4.41,0.03,0.04,0.15,0.64,0.09,0.29,77
"78",2.04,0.03,0.05,0.18,1.17,0.09,0.38,78
"79",5.65,0.03,0.06,0.19,0.96,0.11,0.38,79
"80",4.58,0.03,0.05,0.22,1.19,0.09,0.55,80
"81",3.24,0.03,0.04,0.21,1.02,0.08,0.4,81
"82",2.73,0.03,0.05,0.21,1.26,0.1,0.55,82
"83",21.74,0.02,0.06,0.19,1.6,0.09,0.74,83
