"","p10","p25","p50","p75","p90","metric","comid","result_type"
"DS_Dur_WS",104.5,143.5,166,194.5,215.6,"DS_Dur_WS",2823750,"observed"
"DS_Tim",275.2,285.5,299,324,335.6,"DS_Tim",2823750,"observed"
"DS_Mag_50",100.25086,111.380675,136.85775,191.828875,312.91232,"DS_Mag_50",2823750,"observed"
"DS_Mag_90",229.667947,447.91032,649.208715,1055.54224,2309.692181,"DS_Mag_90",2823750,"observed"
"FA_Dur",2,2,3,4,5,"FA_Dur",2823750,"observed"
"FA_Mag",231.492793684075,383.31328280895,1092.79160948382,2705.16474476039,5753.18124858397,"FA_Mag",2823750,"observed"
"FA_Tim",2,6.25,16,27.5,39.6,"FA_Tim",2823750,"observed"
"SP_ROC",0.0545050923657818,0.065323377177152,0.0749055701971902,0.0846103878822279,0.099617385516024,"SP_ROC",2823750,"observed"
"SP_Dur",39.2,48.5,60,65.5,85,"SP_Dur",2823750,"observed"
"SP_Mag",3599.54918,8074.39895,14713.1468,23282.9041,29195.0575,"SP_Mag",2823750,"observed"
"SP_Tim",218,225.5,244,255,274.8,"SP_Tim",2823750,"observed"
"Wet_BFL_Dur",91,101.5,130,179.25,202.9,"Wet_BFL_Dur",2823750,"observed"
"Wet_BFL_Mag_10",116.937032,329.7815,827.0958,1478.0841,2712.459665,"Wet_BFL_Mag_10",2823750,"observed"
"Wet_BFL_Mag_50",1099.5143,1928.3901,3686.189575,5038.741325,6347.17412,"Wet_BFL_Mag_50",2823750,"observed"
"Wet_Tim",45.5,77,103,132.5,151,"Wet_Tim",2823750,"observed"
"Peak_Tim_10",68.4,82.5,92,113.5,117.8,"Peak_Tim_10",2823750,"observed"
"Peak_Tim_2",122.9,156.5,216,236,248.5,"Peak_Tim_2",2823750,"observed"
"Peak_Tim_5",46.3,82,103,121,155.6,"Peak_Tim_5",2823750,"observed"
"Peak_Dur_10",1,1.5,2,2,2,"Peak_Dur_10",2823750,"observed"
"Peak_Dur_2",2,3.75,7.5,19,27.9,"Peak_Dur_2",2823750,"observed"
"Peak_Dur_5",1,1,2,3,3,"Peak_Dur_5",2823750,"observed"
"Peak_10",52938.12474,52938.12474,52938.12474,52938.12474,52938.12474,"Peak_10",2823750,"observed"
"Peak_2",18671.8971,18671.8971,18671.8971,18671.8971,18671.8971,"Peak_2",2823750,"observed"
"Peak_5",40763.58466,40763.58466,40763.58466,40763.58466,40763.58466,"Peak_5",2823750,"observed"
"Peak_Fre_10",1,1,1,1,1,"Peak_Fre_10",2823750,"observed"
"Peak_Fre_2",1,2,2.5,4,5,"Peak_Fre_2",2823750,"observed"
"Peak_Fre_5",1,1,1,1,1.8,"Peak_Fre_5",2823750,"observed"
