"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","1951",223,299,346.0049,3874.60274,NA,NA,NA,0.0543827838206592,55,19633.738,244,234,417.01414,3733.6061,10,48,149,55.5,2,12,3,52938.12474,18671.8971,40763.58466,1,4,2
"2","1952",183,334,318.0342,1310.09106,2,3004.74689553999,23,0.065080726219912,92,26098.8399,242,86,2605.9653,7680.393,156,NA,231,NA,NA,19,NA,52938.12474,18671.8971,40763.58466,NA,2,NA
"3","1953",190,317,135.5314,556.40936,4,2716.78129195925,44,0.080185176471239,48,15979.7441,269,118,824.48159,2306.4016,151,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"4","1954",255,298,154.2297,865.17124,2,963.364377402595,17,0.0704690905995575,65,12772.2381,233,92,1409.44892,4005.35545,141,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"5","1955",96,315,99.97,138.23515,2,1083.7867863454,41,0.0825671263922819,60,14550.1861,255,68,992.96234,2370.91715,187,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"6","1956",210,309,224.78825,838.94422,NA,NA,NA,0.0781024105642905,35,17029.0601,274,229,654.4056,4832.9865,45,82,242,82,2,16,3,52938.12474,18671.8971,40763.58466,1,5,1
"7","1957",174,295,153.97685,428.36761,4,314.1530053741,9,0.0831043119470775,46,18464.538,249,96,1514.56175,2650.1183,153,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"8","1958",138,301,105.08975,492.82286,4,1461.36366423903,12,0.0876543143503508,57,14963.072,244,141,621.3476,6263.7929,103,NA,206,NA,NA,5,NA,52938.12474,18671.8971,40763.58466,NA,2,NA
"9","1959",185,271,97.1047,166.69106,2,535.235754989206,39,0.0701622249424124,60,5322.4522,211,138,99.62038,1498.22365,73,NA,353,NA,NA,1,NA,52938.12474,18671.8971,40763.58466,NA,1,NA
"10","1960",109,277,95.6482,113.40014,2,187.456546364426,72,0.0750917822142301,49,6608.8192,228,138,188.34016,1674.2089,90,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"11","1961",139,334,113.5657,340.03422,3,483.76834845657,4,0.0538289985016415,88,3028.1183,246,226,110.8347,278.24315,20,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"12","1962",161,302,110.442,340.5379,3,216.277792425424,20,0.062863283231508,80,18681.3962,222,115,392.25868,3077.9232,107,NA,174.5,NA,NA,2,NA,52938.12474,18671.8971,40763.58466,NA,2,NA
